,m0_spd,m1_spd,m2_spd,m0_per,m1_per,m2_per
0,0.3755840204506682,0.4600389357163431,0.31182556109113274,1.0,1.0,1.0
1,0.39185347410287635,0.5634430131221707,0.4370859116072699,0.7280715853354025,0.6309732504749581,0.8365994858220888
2,0.38506395831064183,0.5390556349293575,0.46658423842782903,0.5683706302353813,0.4385050064909639,0.6384763051358461
3,0.3692592254756757,0.5113697161843099,0.46572436911791076,0.4349748379961088,0.3348718912906803,0.46976216553441164
4,0.35547706436334975,0.5072935229654488,0.41851725959797703,0.4024175139285742,0.30674184689953077,0.46632188606407915
5,0.3518441838807844,0.4899496998552643,0.4039564571786309,0.3528603249826409,0.2846166226495172,0.4135397210606815
6,0.349143912043274,0.4860405870759222,0.39915419480550407,0.3230610918144452,0.2392234202931444,0.34360703748209825
7,0.33753361069760074,0.4781628312107055,0.39869546804583256,0.31458805253041977,0.2317543307563917,0.3712015700864582
8,0.32840737005528364,0.46374696995836623,0.38759806814242537,0.3051368772156175,0.21832188716335146,0.37619661679211186
9,0.3245177295757534,0.4594621617777444,0.3680729540253194,0.28139402993528695,0.18475216928284896,0.37798443906449664
10,0.31794600629848513,0.4522046697207161,0.36096529497043234,0.27232356295638477,0.20333558092506052,0.3469764354664588
11,0.3156312427226711,0.44885225093843273,0.36503885437800515,0.26127523682189907,0.1937107612558634,0.35076523433303813
12,0.3140880227872624,0.440640176717317,0.3536960796014619,0.25378475537661654,0.17994936392201502,0.33304437626880673
13,0.3126915705314412,0.4389473554034892,0.3503499719934244,0.24015936084753453,0.1532773886039148,0.3498283121264511
14,0.3099952273391657,0.432938303497801,0.34291319355813,0.21816535890045327,0.16105490837121664,0.3431328587969528
15,0.3054204596288658,0.42606831528206485,0.348645893657805,0.21529692005417977,0.135366018785435,0.34359059647537593
16,0.3041739600799598,0.41902738308675813,0.3450434666125761,0.22288479029028332,0.14150531401815367,0.33330026143733593
17,0.3025172810805933,0.41572585341725016,0.33834841329768633,0.21409219055210402,0.13351691935587043,0.3238507680682585
18,0.29817687538455284,0.4114321918582605,0.3328131924441161,0.20756735745806063,0.13658342299527343,0.3080349724854606
19,0.2949640142376962,0.4092868737816994,0.32528422018348685,0.20298584096588654,0.12619069520960208,0.3056041781840165
20,0.29386543435786905,0.40535074172855884,0.32108116409757276,0.19993674189233204,0.12827584486817184,0.31183821140391665
21,0.2936943377685857,0.4054363959961883,0.3137091842140345,0.18903369333750378,0.12712574877448993,0.3123663416022425
22,0.2904990243336864,0.4079927511940971,0.31154572739141045,0.18712483826750564,0.11710885854493465,0.30457236639095164
23,0.29035141294813677,0.404153919572755,0.30834804665231674,0.1799965676644618,0.10795888855142984,0.28874810612696505
24,0.28783803100831035,0.4024334628765532,0.3128327926449085,0.17758985404887456,0.10798932229702128,0.3014295086321748
25,0.2849757739344214,0.39809081752739556,0.31380733862869514,0.17068432295918712,0.10503962266873788,0.29200576306171766
26,0.28261182910929644,0.3953674035718963,0.3112843815417181,0.16919638023683953,0.10517865024721752,0.2761521654969232
27,0.27917404450965244,0.392269598900878,0.31019039695800865,0.16686442116544944,0.10410669532094048,0.2676052896230637
28,0.2771927513662277,0.39213196567891206,0.30530309601821226,0.1605211296815494,0.10443519420694779,0.2718669083931698
29,0.2744802183942026,0.3918200298059755,0.2993307087515302,0.16089681856786467,0.10522683757546362,0.27517496364969135
30,0.2723977157968065,0.39362474780560597,0.2976734234414792,0.15902683083596006,0.09995608091506793,0.26639990040957423
31,0.2706058235241529,0.392858762902096,0.2943234154214559,0.1540528311977031,0.09583437400780531,0.2569338658421071
32,0.2690937079335128,0.39090592954112213,0.29351592560865386,0.15482237948853256,0.09597266116023,0.2412957355592189
33,0.2661181077987636,0.38924729560608123,0.2901483261353646,0.15315557439923266,0.09301156655464454,0.23297072210972455
34,0.26512906716088913,0.38719550573796147,0.28720146360948334,0.15496544589135344,0.09217748169668913,0.23896754658159305
35,0.26374975900961695,0.38470761339980003,0.28336509553325884,0.14506018502961232,0.08924167412520627,0.23188193461151974
